"filename", "language", "XML", "TypeScript React", "TypeScript", "comment", "blank", "total"
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/pages/ListPpcInfo/styles.ts", "TypeScript", 0, 0, 12, 0, 4, 16
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/pages/ListPpcInfo/utils.ts", "TypeScript", 0, 0, 43, 0, 8, 51
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/pages/ListPpcsCurso/index.tsx", "TypeScript React", 0, 311, 0, 1, 22, 334
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/routes/index.tsx", "TypeScript React", 0, 11, 0, 0, 3, 14
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/components/CraeteFilteredVersaoModal/index.tsx", "TypeScript React", 0, 165, 0, 0, 8, 173
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/components/CreateVersaoModal/index.tsx", "TypeScript React", 0, 195, 0, 0, 13, 208
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/components/UpdateVersaoModal/index.tsx", "TypeScript React", 0, 229, 0, 13, 16, 258
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/FilteredVersao/index.tsx", "TypeScript React", 0, 286, 0, 3, 18, 307
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/ListVersoes/index.tsx", "TypeScript React", 0, 188, 0, 0, 15, 203
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/routes/index.tsx", "TypeScript React", 0, 9, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Form/CheckBox/index.tsx", "TypeScript React", 0, 32, 0, 14, 7, 53
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Form/FormSelect/index.tsx", "TypeScript React", 0, 94, 0, 1, 9, 104
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Form/FormSelect/styles.ts", "TypeScript", 0, 0, 6, 0, 2, 8
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Form/TextField/index.tsx", "TypeScript React", 0, 26, 0, 0, 3, 29
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Header/index.tsx", "TypeScript React", 0, 179, 0, 3, 13, 195
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/SortableContainer/SortableItem.tsx", "TypeScript React", 0, 71, 0, 9, 20, 100
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/SortableContainer/index.tsx", "TypeScript React", 0, 46, 0, 0, 11, 57
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/StyledTable/index.tsx", "TypeScript React", 0, 51, 0, 34, 7, 92
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/StyledTable/styles.ts", "TypeScript", 0, 0, 37, 0, 7, 44
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/index.tsx", "TypeScript React", 0, 16, 0, 0, 4, 20
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/loading.tsx", "TypeScript React", 0, 37, 0, 0, 12, 49
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/title.tsx", "TypeScript React", 0, 27, 0, 0, 10, 37
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/toast.tsx", "TypeScript React", 0, 48, 0, 0, 12, 60
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Brightplanning.svg", "XML", 12, 0, 0, 0, 1, 13
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Business.svg", "XML", 13, 0, 0, 0, 1, 14
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Delete.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Edit.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Group690.svg", "XML", 8, 0, 0, 0, 1, 9
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Layer.svg", "XML", 5, 0, 0, 0, 1, 6
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Librarybooks.svg", "XML", 10, 0, 0, 0, 1, 11
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Paper.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Pedido1.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/SOUCONTEUDISTA.svg", "XML", 30, 0, 0, 0, 1, 31
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Vector.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Vector1.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Vector2.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Vector3.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/file-add.svg", "XML", 4, 0, 0, 0, 1, 5
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/image1.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/image2.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/image3.svg", "XML", 3, 0, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/people.svg", "XML", 7, 0, 0, 0, 1, 8
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/service.svg", "XML", 4, 0, 0, 0, 1, 5
"/home/matheus/Desenvolvimento/souconteudista/src/shared/routes/index.tsx", "TypeScript React", 0, 13, 0, 11, 2, 26
"/home/matheus/Desenvolvimento/souconteudista/src/shared/services/axios.ts", "TypeScript", 0, 0, 4, 0, 2, 6
"Total", "-", 126, 8045, 189, 100, 773, 9233
