"filename", "language", "JSON with Comments", "Markdown", "JSON", "JavaScript", "Properties", "HTML", "TypeScript React", "XML", "TypeScript", "comment", "blank", "total"
"/home/matheus/Desenvolvimento/souconteudista/src/modules/obras/components/DeleteObra/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/obras/components/UpdateObraModal/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, -66, 0, 0, 0, 3, -63
"/home/matheus/Desenvolvimento/souconteudista/src/modules/obras/pages/ListObras/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, -1, 25
"/home/matheus/Desenvolvimento/souconteudista/src/modules/perfis/components/CreatePerfilModalPPC/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/matheus/Desenvolvimento/souconteudista/src/modules/perfis/components/UpdatePerfilModal/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/matheus/Desenvolvimento/souconteudista/src/modules/perfis/pages/FilteredPerfil/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 4, 96
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/components/CreatePPC/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/components/UpdatePPC/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 2, 45
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/pages/ListPpcInfo/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 2, 66
"/home/matheus/Desenvolvimento/souconteudista/src/modules/ppcs/pages/ListPpcsCurso/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 3, 53
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/components/CraeteFilteredVersaoModal/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/components/CreateVersaoModal/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/components/PPCRow/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 200, 0, 0, 4, 10, 214
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/components/UpdateVersaoModal/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/FilteredVersao/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 201, 0, 0, 4, 5, 210
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/FilteredVersao/styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 1, 6, 36
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/ListVersoes/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 53
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Header/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 10, 41
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Modal/InstituicaoModal/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 15, 127
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/institution.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 17, 97
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/routes/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"/home/matheus/Desenvolvimento/souconteudista/tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 33
"Total", "-", 114, 26, 28677, 31, 2, 23, 2186, 3, 29, 51, 231, 31373
