"filename", "language", "TypeScript React", "XML", "TypeScript", "comment", "blank", "total"
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/FilteredVersao/index.tsx", "TypeScript React", 244, 0, 0, 4, 11, 259
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/FilteredVersao/styles.ts", "TypeScript", 0, 0, 29, 1, 6, 36
"/home/matheus/Desenvolvimento/souconteudista/src/modules/versoes/pages/ListVersoes/index.tsx", "TypeScript React", 45, 0, 0, 0, 2, 47
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Header/index.tsx", "TypeScript React", 42, 0, 0, 0, 11, 53
"/home/matheus/Desenvolvimento/souconteudista/src/shared/components/Modal/InstituicaoModal/index.tsx", "TypeScript React", 112, 0, 0, 0, 15, 127
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 3
"/home/matheus/Desenvolvimento/souconteudista/src/shared/hooks/institution.tsx", "TypeScript React", 80, 0, 0, 0, 17, 97
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/GenerateLead.svg", "XML", 0, 32, 0, 0, 1, 33
"/home/matheus/Desenvolvimento/souconteudista/src/shared/images/Home.svg", "XML", 0, 3, 0, 0, 1, 4
"/home/matheus/Desenvolvimento/souconteudista/src/shared/routes/index.tsx", "TypeScript React", 1, 0, 0, 1, 0, 2
"Total", "-", 2530, 35, 70, 22, 225, 2882
